Código Región,Nombre Región,Pertenencia al SNSS,Tipo Establecimiento (Unidad),Ámbito de Funcionamiento,Nombre Oficial,Dependencia Administrativa,Nivel de Atención,Código Comuna,Nombre Comuna,Tiene Servicio de Urgencia,Tipo de Urgencia ,Clasificación Tipo de SAPU,LATITUD [Grados decimales],LONGITUD [Grados decimales],Tipo de Prestador Sistema de Salud,Estado de Funcionamiento,Nivel de Complejidad,Tipo de Atención 
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Centro de Salud Mutual CChC Punta Arenas,Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.168237,-70.922324,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Laboratorio Clínico,Establecimiento de Salud,Laboratorio Clínico de Agostini y Cia. Ltda.,Privado,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.168016,-70.91972,Privado,Vigente en operación habitual,No Aplica,No Aplica
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Laboratorio Clínico,Establecimiento de Salud,Laboratorio Clínico Corporación Municipal Punta Arenas,Municipal,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.167827,-70.920882,Público ,Vigente en operación habitual,No Aplica,No Aplica
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Unidad de Salud Funcionarios ,Unidad de Atención,Unidad de Salud Funcionario  S.S Magallanes,Servicio de Salud,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.165562,-70.908047,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Dirección Servicio de Salud,Unidad de Atención,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes),Servicio de Salud,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.165562,-70.908047,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Programa de Reparación y Atención Integral de Salud (PRAIS),Programa de Atención ,PRAIS (S.S Magallanes),Servicio de Salud,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.165562,-70.908047,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Servicio de Atención Primaria de Urgencia (SAPU),Establecimiento de Salud,SAPU 18 de Septiembre,Municipal,Primario,12101,Punta Arenas,SI,Urgencia Ambulatoria (SAPU),Corto,-53.165297,-70.930831,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,Centro de Salud Familiar 18 Septiembre,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.16522,-70.93107,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Vacunatorio,Establecimiento de Salud,Vacunatorio SEREMI de Salud Magallanes,SEREMI de Salud,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.164875,-70.910293,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica de Recuperación Hogar de Cristo Juan Pablo II,Privado,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.164726,-70.91057,Privado,Vigente en operación habitual,Pendiente,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Centro Diagnóstico  Clinica  Magallanes,Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.16293,-70.923197,Privado,Vigente en operación habitual,Mediana Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Centro Médico y Dental MegaSalud S.A Punta Arenas,Privado,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.162831,-70.905418,Privado,Vigente en operación habitual,Mediana Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Laboratorio Clínico,Establecimiento de Salud,Laboratorio Magallanes,Privado,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.161713,-70.900754,Privado,Vigente en operación habitual,No Aplica,No Aplica
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Laboratorio Clínico,Establecimiento de Salud,Laboratorio Clínico Medi-Lab S.A,Privado,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.161592,-70.90533,Privado,Vigente en operación habitual,No Aplica,No Aplica
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Centro Médico Medvital,Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.161227,-70.911645,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Policlínico de la Fuerzas Armadas y de Orden,Fuerzas Armadas y de Orden (FFAA),Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.160682,-70.908544,Fuerzas Armadas y de Orden,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Croacia,Privado,No Aplica,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.158399,-70.896966,Privado,Vigente en operación habitual,Pendiente,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Instituto Médico Sarmiento,Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.155788,-70.903864,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,Centro de Salud Familiar Carlos Ibáñez,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.15522,-70.93044,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Servicio de Atención Primaria de Urgencia (SAPU),Establecimiento de Salud,SAPU Carlos  Ibañez,Municipal,Primario,12101,Punta Arenas,SI,Urgencia Ambulatoria (SAPU),Corto,-53.155217,-70.93044,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Central Odontológica de Magallanes de 3era Zona Naval,Fuerzas Armadas y de Orden (FFAA),Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.154624,-70.901345,Fuerzas Armadas y de Orden,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital FFAA Cirujano Guzmán,Fuerzas Armadas y de Orden (FFAA),Terciario,12101,Punta Arenas,SI,Urgencia Hospitalaria (UEH),No Aplica,-53.154624,-70.901345,Fuerzas Armadas y de Orden,Vigente en operación habitual,Alta Complejidad,Atención Cerrada-Hospitalaria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,Centro de Salud Familiar Dr. Thomas Fenton,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.14821,-70.88754,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Centro de Rehabilitación Club de Leones Cruz del Sur,Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.143158,-70.881773,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,Centro de Salud Familiar Dr. Mateo Bencur,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.14212,-70.91263,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Servicio de Atención Primaria de Urgencia (SAPU),Establecimiento de Salud,SAPU Dr. Mateo Bencur,Municipal,Primario,12101,Punta Arenas,SI,Urgencia Ambulatoria (SAPU),Corto,-53.141867,-70.912506,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
13,Región Metropolitana de Santiago,No perteneciente al Sistema Nacional de Servicios de Salud,Clínica Dental,Establecimiento de Salud,CEINSA,Privado,No Aplica,13201,Puente Alto,NO,No Aplica,No Aplica,-33.605288,-70.570507,Privado,Vigente en operación habitual,Mediana Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Policlínico AChS (Punta Arenas),Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.137931,-70.887143,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Magallanes,Privado,Terciario,12101,Punta Arenas,SI,Urgencia Hospitalaria (UEH),No Aplica,-53.137303,-70.887283,Privado,Vigente en operación habitual,Alta Complejidad,Atención Cerrada-Hospitalaria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas,Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.136785,-70.884704,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Clínica IMET,Privado,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.129674,-70.877252,Privado,Vigente en operación habitual,Mediana Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro Comunitario de Salud Familiar (CECOSF),Establecimiento de Salud,CECOSF  Sandra Vargas,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.12652,-70.91809,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,Servicio de Salud,Terciario,12101,Punta Arenas,SI,Urgencia Hospitalaria (UEH),No Aplica,-53.12215,-70.896232,Público ,Vigente en operación habitual,Alta Complejidad,Atención Cerrada-Hospitalaria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro Comunitario de Salud Familiar (CECOSF),Establecimiento de Salud,Centro Comunitario de Salud Familiar Río Seco,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.05755,-70.85788,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Germán Saldivia Teneb,Municipal,Primario,12103,Río Verde,NO,No Aplica,No Aplica,-52.65109,-71.46342,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Tehuelches,Municipal,Primario,12102,Laguna Blanca,NO,No Aplica,No Aplica,-52.42827,-71.41302,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Punta Delgada,Municipal,Primario,12104,San Gregorio,NO,No Aplica,No Aplica,-52.31638,-69.68958,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Laboratorio Clínico,Establecimiento de Salud,Laboratorio Clínico Biohealth,Privado,No Aplica,12401,Natales,NO,No Aplica,No Aplica,-51.731515,-72.499538,Privado,Vigente en operación habitual,No Aplica,No Aplica
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Dr. Augusto Essmann Burgos ( Natales),Servicio de Salud,Terciario,12401,Natales,SI,Urgencia Hospitalaria (UEH),No Aplica,-51.730327,-72.506046,Público ,Vigente en operación habitual,Mediana Complejidad,Atención Cerrada-Hospitalaria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,Centro de Salud Familiar Natales,Municipal,Primario,12401,Natales,NO,No Aplica,No Aplica,-51.72835,-72.48268,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Servicio de Atención Primaria de Urgencia (SAPU),Establecimiento de Salud,"SAPU ""Dr. Juan Lozic Perez""",Municipal,Primario,12401,Natales,SI,Urgencia Ambulatoria (SAPU),Corto,-51.728207,-72.482647,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Privado,Establecimiento de Salud,Policlínico de Asociación Chilena de Seguridad,Privado,Secundario,12401,Natales,NO,No Aplica,No Aplica,-51.726161,-72.501522,Privado,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Laboratorio Clínico,Establecimiento de Salud,Laboratorio Clínico Austral,Privado,No Aplica,12401,Natales,NO,No Aplica,No Aplica,-51.725382,-72.507691,Privado,Vigente en operación habitual,No Aplica,No Aplica
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Dorotea,Municipal,Primario,12401,Natales,NO,No Aplica,No Aplica,-51.60621,-72.33238,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Oficina Sanitaria ,Unidad de Atención,Oficina Sanitaria Dorotea,SEREMI de Salud,No Aplica,12401,Natales,NO,No Aplica,No Aplica,-51.604699,-72.333088,,Vigente en operación habitual,No Aplica,No Aplica
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Cerro Castillo (Torres del Paine),Municipal,Primario,12402,Torres del Paine,NO,No Aplica,No Aplica,-51.25538,-72.34362,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Puerto Edén,Municipal,Primario,12401,Natales,NO,No Aplica,No Aplica,-49.12549,-74.41271,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Villa O'Higgins,Servicio de Salud,Primario,11302,O'Higgins,NO,No Aplica,No Aplica,-48.469779,-72.560767,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Caleta Tortel,Servicio de Salud,Primario,11303,Tortel,NO,No Aplica,No Aplica,-47.79589,-73.5323,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Lord Cochrane,Servicio de Salud,Pendiente,11301,Cochrane,SI,Urgencia Hospitalaria (UEH),No Aplica,-47.25557,-72.57073,Público ,Vigente en operación habitual,Baja Complejidad,Atención Cerrada-Hospitalaria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Puerto Bertrand,Servicio de Salud,Primario,11401,Chile Chico,NO,No Aplica,No Aplica,-47.01695,-72.82942,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Bernardita Zuñiga Vargas,Servicio de Salud,Primario,11401,Chile Chico,NO,No Aplica,No Aplica,-46.84436,-72.70212,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Mallín Grande,Servicio de Salud,Primario,11401,Chile Chico,NO,No Aplica,No Aplica,-46.72719,-72.46432,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Río Tranquilo,Servicio de Salud,Primario,11402,Río Ibáñez,NO,No Aplica,No Aplica,-46.62364,-72.67736,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Puerto Sánchez,Servicio de Salud,Primario,11402,Río Ibáñez,NO,No Aplica,No Aplica,-46.59205,-72.57875,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Dr. Leopoldo Ortega Rodríguez (Chile Chico),Servicio de Salud,Pendiente,11401,Chile Chico,SI,Urgencia Hospitalaria (UEH),No Aplica,-46.54166,-71.7251,Público ,Vigente en operación habitual,Baja Complejidad,Atención Cerrada-Hospitalaria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Bahía Murta,Servicio de Salud,Primario,11402,Río Ibáñez,NO,No Aplica,No Aplica,-46.458216,-72.673995,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Puerto Ibáñez,Servicio de Salud,Primario,11402,Río Ibáñez,NO,No Aplica,No Aplica,-46.29201,-71.93383,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Cerro Castillo (Río Ibáñez),Servicio de Salud,Primario,11402,Río Ibáñez,NO,No Aplica,No Aplica,-46.12091,-72.1607,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Balmaceda,Servicio de Salud,Primario,11101,Coyhaique,NO,No Aplica,No Aplica,-45.90909,-71.69802,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural El Blanco,Servicio de Salud,Primario,11101,Coyhaique,NO,No Aplica,No Aplica,-45.81443,-71.91623,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Valle Simpson,Servicio de Salud,Primario,11101,Coyhaique,NO,No Aplica,No Aplica,-45.71442,-72.08107,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Lago Atravesado,Servicio de Salud,Primario,11101,Coyhaique,NO,No Aplica,No Aplica,-45.66848,-72.21204,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
11,Región De Aysén del General Carlos Ibañez del Campo,Perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,CESFAM  Víctor Domingo Silva,Servicio de Salud,Primario,11101,Coyhaique,NO,No Aplica,No Aplica,-45.58272,-72.06043,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
