Código Comuna,Nombre Comuna,Total_centros
10401,Chaitén,11
10402,Futaleufú,3
10403,Hualaihué,6
10404,Palena,3
11101,Coyhaique,11
11102,Lago Verde,3
11201,Aisén,7
11202,Cisnes,6
11203,Guaitecas,1
11301,Cochrane,1
11302,O'Higgins,1
11303,Tortel,1
11401,Chile Chico,4
11402,Río Ibáñez,5
12101,Punta Arenas,13
12102,Laguna Blanca,1
12103,Río Verde,1
12104,San Gregorio,1
12201,Cabo de Hornos,1
12301,Porvenir,1
12303,Timaukel,1
12401,Natales,5
12402,Torres del Paine,1
13101,Santiago,12
13102,Cerrillos,4
13103,Cerro Navia,9
13104,Conchalí,9
13105,El Bosque,11
13106,Estación Central,6
13107,Huechuraba,6
13108,Independencia,8
13109,La Cisterna,4
13110,La Florida,20
13111,La Granja,9
13112,La Pintana,11
13113,La Reina,3
13114,Las Condes,3
13115,Lo Barnechea,5
13116,Lo Espejo,7
13117,Lo Prado,7
13118,Macul,4
13119,Maipú,20
13120,Ñuñoa,5
13121,Pedro Aguirre Cerda,8
13122,Peñalolén,13
13123,Providencia,12
13124,Pudahuel,16
13125,Quilicura,10
13126,Quinta Normal,8
13127,Recoleta,8
13128,Renca,5
13129,San Joaquín,10
13130,San Miguel,6
13131,San Ramón,7
13132,Vitacura,2
13201,Puente Alto,15
13202,Pirque,5
13203,San José de Maipo,4
13301,Colina,10
13302,Lampa,7
13303,Tiltil,7
13401,San Bernardo,17
13402,Buin,13
13403,Calera de Tango,4
13404,Paine,9
13501,Melipilla,14
13502,Alhué,5
13503,Curacaví,3
13504,Maria Pinto,5
13505,San Pedro,6
13601,Talagante,6
13602,El Monte,3
13603,Isla de Maipo,9
13604,Padre Hurtado,2
13605,Peñaflor,5
14101,Valdivia,22
14102,Corral,3
14103,Lanco,4
14104,Los Lagos,10
14105,Máfil,4
14106,Mariquina,13
14107,Paillaco,8
14108,Panguipulli,16
14201,La Unión,13
14202,Futrono,8
14203,Lago Ranco,8
14204,Río Bueno,10
15101,Arica,15
15102,Camarones,1
15201,Putre,4
15202,General Lagos,1
16101,Chillán ,16
16102,Bulnes,4
16103,Chillán Viejo,5
16104,El Carmen,11
16105,Pemuco,4
16106,Pinto,4
16107,Quillón,6
16108,San Ignacio,6
16109,Yungay,3
16201,Quirihue,2
16202,Cobquecura,4
16203,Coelemu,4
16204,Ninhue,4
16205,Portezuelo,4
16206,Ránquil,4
16207,Treguaco,5
16301,San Carlos,11
16302,Coihueco,6
16303,Ñiquén,7
16304,San Fabián,4
16305,San Nicolás,3
